posting_id,job_board_id,source,company_name,canonical_url,title,project,location,employment_type,remote_type,writer_match_confidence,is_active,first_seen_at,last_updated,description
f4eb4df0-63c3-4f8f-bfed-0593e4d736b8,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,CD Projekt Red,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000123382181,Gameplay Designer,,"Warsaw, Mazowieckie, Poland",,hybrid,0.32,True,2026-06-22 18:55:42.930338+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Gameplay Designer (Enemies/NPC). For The Witcher 4"", ""technical_details"": {""skills"": [""Unreal""], ""languages"": [], ""minimum_years"": null}}"
5f385d91-d424-4174-8b25-58632973275c,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Skeleton Key,https://careers.hasbro.com/careers/job/68761045692,Writer,,"Austin, Texas, United States",,onsite,0.95,True,2026-06-22 18:55:42.928829+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""For games"", ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
09eaeeb8-5e7b-4c1b-a5b9-9e46247865ee,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Torpor Games,https://torporgames.careers.hibob.com/jobs/43ddbf40-058b-4588-9b79-f5bd97b0e42a,Writer,,"Berlin, Germany",,hybrid,0.95,True,2026-06-22 18:55:42.928219+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
a1176993-a816-4eda-bad7-e9a1ef905e8a,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,King,https://xboxgaming.wd1.myworkdayjobs.com/en-US/King_External_Careers/job/London---King---Ampersand/Gameplay-Designer_R027417,Gameplay Designer,,"Stockholm, Uppland, Sweden",,onsite,0.32,True,2026-06-22 18:55:42.926902+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": null, ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
b8dcbf53-11d0-4cac-8c0b-4a668486f456,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Arcanaut Studios,https://arcanautstudios.applytojobs.ca/design/47377,Level Designer,,"Edmonton, Alberta, Canada",,hybrid,0.34,True,2026-06-22 18:55:42.924981+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be based in either Alberta or BC"", ""technical_details"": {""skills"": [""Unreal""], ""languages"": [], ""minimum_years"": null}}"
d4c435f7-7d64-435c-b7d6-304dc9d2aee5,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,CD Projekt Red,https://jobs.smartrecruiters.com/CDPROJEKTRED/744000124922889-senior-writer,Writer,,"Boston, Massachusetts, United States",,hybrid,0.95,True,2026-06-22 18:55:42.923454+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""For Cyberpunk 2"", ""technical_details"": {""skills"": [""ERP""], ""languages"": [], ""minimum_years"": null}}"
0ce11fb3-de5e-44ae-a459-4002583f4972,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Dambuster Studios,https://careers.dsdambuster.com/job/825434,Narrative Designer,,"Nottingham, United Kingdom, England",,hybrid,1,True,2026-06-22 18:55:42.923409+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be UK-based"", ""technical_details"": {""skills"": [], ""languages"": [], ""minimum_years"": null}}"
9c3c4988-d3be-4579-8055-d57542c66180,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Techland,https://jobs.smartrecruiters.com/TechlandSA/744000124672597-lead-level-designer,Level Designer,,"Wrocław, Lower Silesian Voivodeship, Poland",,onsite,0.34,True,2026-06-22 18:55:42.922855+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be fluent in English"", ""technical_details"": {""skills"": [], ""languages"": [""English""], ""minimum_years"": null}}"
af3f0b3b-d73e-4893-83e9-576b298f61a7,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Techland,https://jobs.smartrecruiters.com/TechlandSA/744000124861929-junior-level-designer,Level Designer,,"Wrocław, Lower Silesian Voivodeship, Poland",,onsite,0.34,True,2026-06-22 18:55:42.922830+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be fluent in English"", ""technical_details"": {""skills"": [""Unity"", ""Unreal"", ""RedKit"", ""CryEngine"", ""RoadHog"", ""REDkit""], ""languages"": [""English""], ""minimum_years"": null}}"
87f5bddd-0b08-4297-81dd-214a4c31b394,9b6ae212-84b2-41a5-9685-d0ee8a265bdb,animation_jobs_sheet,Sandbox Interactive,https://albiononline.com/jobs/7363029,Level Designer,,"Berlin, Germany",,hybrid,0.34,True,2026-06-22 18:55:42.921656+00:00,2026-06-28 20:56:38.555469+00:00,"{""salary_range"": {""max"": null, ""min"": null, ""currency"": null}, ""qualifications"": null, ""responsibilities"": ""Must be fluent in English"", ""technical_details"": {""skills"": [], ""languages"": [""English""], ""minimum_years"": null}}"
